Month,Commissioner / Provider,Practice plus Code,Comparator Description,Age Band,Numerator,Denominator,Value
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,VILLAGE MEDICAL GROUP (A84030),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,5,1910,0.261780104712042
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,WELL CLOSE MEDICAL GROUP (A84026),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,26,1878,1.38445154419595
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,WHITE MEDICAL GROUP (A84011),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,4,1715,0.233236151603499
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,WOOLER HEALTH (A84604),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,10,1315,0.760456273764259
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,ALBERT ROAD SURGERY (A88010),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,6,633,0.947867298578199
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,CENTRAL SURGERY (A88013),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,19,2435,0.780287474332649
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,COLLIERY COURT MEDICAL GROUP (A88016),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,7,1283,0.545596258768511
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,DR THORNILEY-WALKER & PARTNERS (A88009),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,3,1025,0.292682926829268
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,EAST WING PRACTICE (A88613),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,10,684,1.46198830409357
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,ELLISON VIEW SURGERY (A88012),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,13,1010,1.28712871287129
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,FARNHAM MEDICAL CTR. (A88002),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,15,2479,0.605082694634934
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,IMEARY MEDICAL GROUP (A88601),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,7,626,1.11821086261981
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,MARSDEN MEDICAL GROUP (A88003),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,9,2255,0.399113082039911
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,MAYFIELD MEDICAL GROUP (A88004),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,7,1209,0.578990901571547
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,RAVENSWORTH SURGERY (A88608),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,10,932,1.07296137339056
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,ST GEORGE & RIVERSIDE MEDICAL PRACTICE (A88015),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,17,989,1.71890798786653
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,TALBOT MEDICAL CENTRE (A88006),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,7,1271,0.550747442958301
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,THE G.P.SUITE (A88025),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,7,840,0.833333333333333
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,THE GLEN MEDICAL GROUP (A88022),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,15,1444,1.0387811634349
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,TRINITY MEDICAL CENTRE (A88008),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,8,916,0.873362445414847
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,VICTORIA MEDICAL CENTRE (A88001),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,6,564,1.06382978723404
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,WENLOCK ROAD SURGERY (A88005),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,5,664,0.753012048192771
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,WEST VIEW SURGERY (A88014),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,0,304,0
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,WHITBURN SURGERY (A88023),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,9,1049,0.857959961868446
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,WAWN STREET SURGERY (A88007) ( C 01-May-25 ),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,6,1120,0.535714285714286
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,ASHBURN MEDICAL CENTRE (A89018),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,3,722,0.415512465373961
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,BRIDGE VIEW MEDICAL GROUP (A89019),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,28,2287,1.22431132487976
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,CASTLETOWN MEDICAL CENTRE (A89036),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,1,315,0.317460317460317
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,CHESTER SURGERY (A89623),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,2,307,0.651465798045603
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,CONCORD MEDICAL PRACTICE (A89022),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,7,903,0.775193798449612
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,DEERNESS PARK MEDICAL GROUP (A89001),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,17,2018,0.842418235877106
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,FORGE MEDICAL PRACTICE (A89020),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,5,1053,0.474833808167142
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,"FULWELL MEDICAL CENTRE, (A89015)",Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,11,1714,0.641773628938156
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,GALLERIES MEDICAL PRACTICE (A89012),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,30,1829,1.64024056861673
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,GRANGEWOOD SURGERY (A89028),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,6,1244,0.482315112540193
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,HAPPY HOUSE SURGERY (A89041),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,13,992,1.31048387096774
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,HERRINGTON MEDICAL CENTRE (A89009),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,9,1274,0.706436420722135
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,HETTON GROUP PRACTICE (A89004),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,21,2011,1.04425658876181
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,"HOUGHTON MEDICAL GROUP, (A89023)",Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,10,1289,0.775795190069821
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,HYLTON MEDICAL GROUP (A89031),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,4,573,0.698080279232112
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,I J HEALTHCARE (A89617),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,9,659,1.36570561456753
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,KEPIER MEDICAL PRACTICE (A89021),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,13,1231,1.05605199025183
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,MILLFIELD MEDICAL GROUP (A89017),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,29,1782,1.62738496071829
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,MONKWEARMOUTH HEALTH CENTRE (A89040),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,3,826,0.36319612590799
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,NEW SILKSWORTH MEDICAL PRACTICE (A89032),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,11,1464,0.751366120218579
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,NEW WASHINGTON MEDICAL GROUP (A89026),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,10,1191,0.839630562552477
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,PALLION FAMILY PRACTICE (A89007),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,11,1376,0.799418604651163
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,PALLION PRIMARY CARE SERVICES (Y01262),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,0,2,0
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,PARK LANE PRACTICE (A89034),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,2,329,0.60790273556231
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,RED HOUSE MEDICAL CENTRE (A89008),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,9,754,1.19363395225464
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,RICKLETON MEDICAL CENTRE (A89616),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,4,409,0.97799511002445
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,RIVERVIEW SURGERY (A89002),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,12,783,1.53256704980843
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,SOUTHLANDS MEDICAL GROUP (A89035),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,13,1568,0.829081632653061
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,SPRINGWELL MEDICAL GROUP (A89027),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,5,843,0.593119810201661
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,ST BEDE MEDICAL CENTRE (A89016),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,8,1323,0.604686318972033
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE (A89025),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,11,1178,0.933786078098472
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,SUNDERLAND GP ALLIANCE SOUTH HYLTON SURG (A89614),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,2,675,0.296296296296296
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,THE BROADWAY MEDICAL PRACTICE (A89024),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,11,1073,1.02516309412861
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,THE NEW CITY MEDICAL GROUP (A89013),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,20,977,2.04708290685773
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,THE STEPHENSON MEDICAL PRACTICE (A89010),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,10,1891,0.528820729772607
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,VILLAGE SURGERY PARTNERSHIP (A89011),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,6,720,0.833333333333333
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,VILLETTE SURGERY (A89005),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,3,996,0.301204819277108
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,WEARSIDE MEDICAL PRACTICE - PALLION (A89006),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,6,843,0.711743772241993
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,WESTBOURNE MEDICAL GROUP (A89030),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,13,1173,1.10826939471441
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,ALSTON MEDICAL PRACTICE (A82004),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,3,501,0.598802395209581
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,APPLEBY MEDICAL PRACTICE (A82006),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,5,1184,0.422297297297297
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,ASPATRIA MEDICAL GROUP (A82055),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,8,1355,0.590405904059041
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,BIRBECK MEDICAL GROUP (A82035),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,10,2209,0.452693526482571
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,BRAMPTON MEDICAL PRACTICE (A82012),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,22,3526,0.623936471922859
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,CALDBECK SURGERY (A82014),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,3,1032,0.290697674418605
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,CARLISLE CENTRAL PRACTICE (A82015),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,4,635,0.62992125984252
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,CARLISLE HEALTHCARE (A82016),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,50,5483,0.911909538573773
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,CASTLEGATE AND DERWENT SURGERY (A82021),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,28,3424,0.817757009345794
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,CASTLEHEAD MEDICAL CENTRE (A82028),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,6,1758,0.341296928327645
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,COURT THORN SURGERY (A82631),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,6,751,0.798934753661784
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,DALSTON MEDICAL GROUP (A82022),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,12,1118,1.07334525939177
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,DISTINGTON SURGERY (A82023),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,6,1233,0.48661800486618
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,EDEN MEDICAL GROUP (A82020),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,18,2110,0.853080568720379
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,FELLVIEW HEALTHCARE (A82044),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,40,4002,0.999500249875063
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,GLENRIDDING HEALTH CENTRE (A82620),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,2,139,1.43884892086331
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,JAMES STREET GROUP PRACT (A82047),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,49,5877,0.833758720435596
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,KIRKOSWALD SURGERY (A82617),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,2,590,0.338983050847458
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,LONGTOWN MEDICAL CENTRE (A82646),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,4,723,0.553250345781466
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,LOWTHER MEDICAL CENTRE (A82041),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,35,2612,1.33996937212864
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,MANSION HOUSE SURGERY (A82075),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,12,1278,0.938967136150235
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,MARYPORT HEALTH SERVICES (A82032),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,28,2719,1.02979036410445
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,SEASCALE HEALTH CENTRE (A82024),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,4,1312,0.304878048780488
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,SHAP MEDICAL PRACTICE (A82031),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,3,478,0.627615062761506
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,SILLOTH GROUP MEDICAL PRACTICE (A82037),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,10,1123,0.890471950133571
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,SPENCER ST SURGERY (A82018),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,16,1742,0.918484500574053
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,TEMPLE SOWERBY MEDICAL PRACTICE (A82038),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,4,812,0.492610837438424
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,THE CROFT SURGERY (A82029),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,8,797,1.00376411543287
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,THE LAKES MEDICAL PRACTICE (A82036),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,17,1657,1.02595051297526
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,UPPER EDEN MEDICAL PRACTICE (A82013),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,3,1543,0.194426441996111
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,WARWICK SQUARE GROUP PRACTICE (A82654),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,7,1157,0.605012964563526
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,WESTCROFT HOUSE SURGERY (A82064),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,8,1273,0.628436763550668
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,WIGTON GROUP MEDICAL PRACTICE (A82045),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,16,1699,0.941730429664509
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,FUSEHILL MEDICAL PRACTICE (A82019) ( C 01-May-25 ),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,6,887,0.676437429537768
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,QUEEN STREET MEDICAL PRACTICE (A82058) ( C 01-Apr-24 ),Percentage of patients with an anticholinergic burden score of 6 or more,Aged 65 and over,0,3,0
