Month,Commissioner / Provider,Practice plus Code,Comparator Description,Age Band,Numerator,Denominator,Value
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,THE GABLES MEDICAL GROUP (A84013),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,63,562,11.2099644128114
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,THE ROTHBURY PRACTICE (A84002),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,36,706,5.09915014164306
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,THE SELE MEDICAL PRACTICE (A84033),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,40,651,6.14439324116743
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,UNION BRAE & NORHAM PRAC (A84044),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,70,810,8.64197530864198
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,VALENS MEDICAL PARTNERSHIP (A84036),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,470,4265,11.0199296600234
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,VILLAGE MEDICAL GROUP (A84030),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,95,1073,8.85368126747437
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,WELL CLOSE MEDICAL GROUP (A84026),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,104,1093,9.51509606587374
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,WHITE MEDICAL GROUP (A84011),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,75,1001,7.49250749250749
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00L,WOOLER HEALTH (A84604),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,57,657,8.67579908675799
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,ALBERT ROAD SURGERY (A88010),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,51,345,14.7826086956522
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,CENTRAL SURGERY (A88013),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,132,1236,10.6796116504854
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,COLLIERY COURT MEDICAL GROUP (A88016),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,54,692,7.80346820809249
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,DR THORNILEY-WALKER & PARTNERS (A88009),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,39,587,6.64395229982964
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,EAST WING PRACTICE (A88613),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,45,378,11.9047619047619
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,ELLISON VIEW SURGERY (A88012),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,65,465,13.9784946236559
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,FARNHAM MEDICAL CTR. (A88002),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,86,1203,7.14879467996675
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,IMEARY MEDICAL GROUP (A88601),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,26,318,8.17610062893082
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,MARSDEN MEDICAL GROUP (A88003),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,104,1233,8.43471208434712
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,MAYFIELD MEDICAL GROUP (A88004),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,85,584,14.5547945205479
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,RAVENSWORTH SURGERY (A88608),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,70,467,14.9892933618844
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,ST GEORGE & RIVERSIDE MEDICAL PRACTICE (A88015),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,67,494,13.5627530364372
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,TALBOT MEDICAL CENTRE (A88006),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,73,615,11.869918699187
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,THE G.P.SUITE (A88025),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,59,420,14.047619047619
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,THE GLEN MEDICAL GROUP (A88022),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,67,691,9.69609261939219
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,TRINITY MEDICAL CENTRE (A88008),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,52,463,11.231101511879
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,VICTORIA MEDICAL CENTRE (A88001),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,48,337,14.2433234421365
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,WENLOCK ROAD SURGERY (A88005),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,44,309,14.2394822006472
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,WEST VIEW SURGERY (A88014),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,18,151,11.9205298013245
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,WHITBURN SURGERY (A88023),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,60,564,10.6382978723404
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00N,WAWN STREET SURGERY (A88007) ( C 01-May-25 ),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,48,595,8.0672268907563
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,ASHBURN MEDICAL CENTRE (A89018),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,51,386,13.2124352331606
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,BRIDGE VIEW MEDICAL GROUP (A89019),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,175,1144,15.2972027972028
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,CASTLETOWN MEDICAL CENTRE (A89036),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,20,150,13.3333333333333
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,CHESTER SURGERY (A89623),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,11,161,6.83229813664596
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,CONCORD MEDICAL PRACTICE (A89022),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,60,459,13.0718954248366
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,DEERNESS PARK MEDICAL GROUP (A89001),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,124,975,12.7179487179487
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,FORGE MEDICAL PRACTICE (A89020),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,61,526,11.5969581749049
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,"FULWELL MEDICAL CENTRE, (A89015)",Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,91,999,9.10910910910911
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,GALLERIES MEDICAL PRACTICE (A89012),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,72,697,10.3299856527977
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,GRANGEWOOD SURGERY (A89028),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,68,677,10.0443131462334
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,HAPPY HOUSE SURGERY (A89041),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,62,457,13.5667396061269
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,HERRINGTON MEDICAL CENTRE (A89009),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,67,688,9.73837209302326
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,HETTON GROUP PRACTICE (A89004),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,149,1122,13.2798573975045
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,"HOUGHTON MEDICAL GROUP, (A89023)",Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,66,662,9.96978851963746
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,HYLTON MEDICAL GROUP (A89031),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,31,270,11.4814814814815
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,I J HEALTHCARE (A89617),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,30,333,9.00900900900901
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,KEPIER MEDICAL PRACTICE (A89021),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,83,606,13.6963696369637
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,MILLFIELD MEDICAL GROUP (A89017),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,95,827,11.4873035066505
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,MONKWEARMOUTH HEALTH CENTRE (A89040),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,36,451,7.98226164079823
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,NEW SILKSWORTH MEDICAL PRACTICE (A89032),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,98,761,12.8777923784494
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,NEW WASHINGTON MEDICAL GROUP (A89026),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,62,581,10.671256454389
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,PALLION FAMILY PRACTICE (A89007),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,90,731,12.311901504788
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,PARK LANE PRACTICE (A89034),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,14,162,8.64197530864198
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,RED HOUSE MEDICAL CENTRE (A89008),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,70,367,19.0735694822888
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,RICKLETON MEDICAL CENTRE (A89616),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,15,164,9.14634146341463
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,RIVERVIEW SURGERY (A89002),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,38,343,11.0787172011662
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,SOUTHLANDS MEDICAL GROUP (A89035),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,101,785,12.8662420382166
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,SPRINGWELL MEDICAL GROUP (A89027),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,36,404,8.91089108910891
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,ST BEDE MEDICAL CENTRE (A89016),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,87,719,12.1001390820584
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,SUNDERLAND GP ALLIANCE MEDICAL PRACTICE (A89025),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,54,493,10.9533468559838
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,SUNDERLAND GP ALLIANCE SOUTH HYLTON SURG (A89614),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,71,371,19.1374663072776
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,THE BROADWAY MEDICAL PRACTICE (A89024),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,66,567,11.6402116402116
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,THE NEW CITY MEDICAL GROUP (A89013),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,86,544,15.8088235294118
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,THE STEPHENSON MEDICAL PRACTICE (A89010),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,77,1012,7.60869565217391
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,VILLAGE SURGERY PARTNERSHIP (A89011),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,65,380,17.1052631578947
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,VILLETTE SURGERY (A89005),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,64,512,12.5
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,WEARSIDE MEDICAL PRACTICE - PALLION (A89006),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,67,428,15.6542056074766
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 00P,WESTBOURNE MEDICAL GROUP (A89030),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,78,599,13.0217028380634
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,ALSTON MEDICAL PRACTICE (A82004),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,26,244,10.655737704918
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,APPLEBY MEDICAL PRACTICE (A82006),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,32,643,4.97667185069984
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,ASPATRIA MEDICAL GROUP (A82055),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,72,696,10.3448275862069
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,BIRBECK MEDICAL GROUP (A82035),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,81,1276,6.34796238244514
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,BRAMPTON MEDICAL PRACTICE (A82012),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,161,1892,8.50951374207188
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,CALDBECK SURGERY (A82014),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,31,569,5.4481546572935
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,CARLISLE CENTRAL PRACTICE (A82015),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,38,323,11.7647058823529
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,CARLISLE HEALTHCARE (A82016),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,257,2962,8.67656988521269
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,CASTLEGATE AND DERWENT SURGERY (A82021),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,142,1825,7.78082191780822
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,CASTLEHEAD MEDICAL CENTRE (A82028),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,51,1045,4.88038277511962
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,COURT THORN SURGERY (A82631),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,24,381,6.2992125984252
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,DALSTON MEDICAL GROUP (A82022),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,48,645,7.44186046511628
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,DISTINGTON SURGERY (A82023),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,64,635,10.0787401574803
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,EDEN MEDICAL GROUP (A82020),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,101,1078,9.36920222634508
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,FELLVIEW HEALTHCARE (A82044),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,265,1978,13.3973710819009
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,GLENRIDDING HEALTH CENTRE (A82620),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,2,76,2.63157894736842
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,JAMES STREET GROUP PRACT (A82047),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,334,3125,10.688
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,KIRKOSWALD SURGERY (A82617),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,21,280,7.5
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,LONGTOWN MEDICAL CENTRE (A82646),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,30,358,8.37988826815642
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,LOWTHER MEDICAL CENTRE (A82041),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,172,1335,12.8838951310861
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,MANSION HOUSE SURGERY (A82075),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,65,618,10.5177993527508
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,MARYPORT HEALTH SERVICES (A82032),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,149,1404,10.6125356125356
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,SEASCALE HEALTH CENTRE (A82024),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,45,718,6.26740947075209
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,SHAP MEDICAL PRACTICE (A82031),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,16,236,6.77966101694915
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,SILLOTH GROUP MEDICAL PRACTICE (A82037),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,69,612,11.2745098039216
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,SPENCER ST SURGERY (A82018),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,45,922,4.88069414316703
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,TEMPLE SOWERBY MEDICAL PRACTICE (A82038),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,22,425,5.17647058823529
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,THE CROFT SURGERY (A82029),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,22,414,5.31400966183575
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,THE LAKES MEDICAL PRACTICE (A82036),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,68,951,7.15036803364879
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,UPPER EDEN MEDICAL PRACTICE (A82013),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,69,878,7.85876993166287
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,WARWICK SQUARE GROUP PRACTICE (A82654),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,37,651,5.68356374807988
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,WESTCROFT HOUSE SURGERY (A82064),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,78,628,12.4203821656051
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,WIGTON GROUP MEDICAL PRACTICE (A82045),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,71,882,8.04988662131519
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,FUSEHILL MEDICAL PRACTICE (A82019) ( C 01-May-25 ),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,65,506,12.8458498023715
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H,QUEEN STREET MEDICAL PRACTICE (A82058) ( C 01-Apr-24 ),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,1,2,50
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 13T,BEACON VIEW MEDICAL CENTRE (A85026),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,24,363,6.61157024793388
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 13T,BENFIELD PARK MEDICAL GROUP (A86023),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,73,557,13.1059245960503
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 13T,BENSHAM FAMILY PRACTICE (A85002),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,28,318,8.80503144654088
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 13T,BETTS AVENUE MEDICAL GROUP (A86030),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,123,625,19.68
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 13T,BEWICK ROAD SURGERY (A85017),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,47,329,14.2857142857143
Sep-23,NHS NORTH EAST AND NORTH CUMBRIA ICB - 13T,BIDDLESTONE HEALTH GROUP (A86010),Percentage of patients prescribed 10 or more unique medicines,Aged 75 and over,38,447,8.50111856823266
